评论ID,评论内容,评论图片,点赞数,评论时间,用户昵称,用户主页链接,用户抖音号,用户签名,回复总数,ip归属
7520945688474436386,高一的时候我爸问我高考能不能考700分[憨笑],,11359,2025-06-28 18:30:30,夏青,https://www.douyin.com/user/MS4wLjABAAAAbqdpM30sbIXO79keHSIHf6mlVEo0yseFmBf3UfWO6Is,,未知,159,湖南
7521023443329696566,"笔一定要能写字✍✍✍
男人一定要是男人✍✍✍
飞机一定要能飞✍✍✍
饮用水一定要能饮用✍✍✍
相机一定要能拍照🖐️😭🤚
摄影师主页一定要有照片✍✍✍[看]",,224,2025-06-28 23:32:20,T*,https://www.douyin.com/user/MS4wLjABAAAAYf_mUhSfy1Wkh3s7Wn7bLC3Jp259ml2NhSUwQczM0AMQnUh03syE6n1OXWdnx-JB,84755386111,未知,7,陕西
7521177041418191642,中考的时候，体育满分70分，我考了64分，我告诉我爸后，我爸一脸鄙夷的说，男生，不说考一百分了，考个八十分也行啊[捂脸],,101,2025-06-29 09:28:16,贝贝的利亚,https://www.douyin.com/user/MS4wLjABAAAAxt7pEx43Iz2W4PEGo_qWB5_ep5pQwaxdH0OF_b5s4ZSrSpAD2X39FmWFPRfi1wPx,33751108261,未知,3,河南
7521008525721797430,"领导A：电脑点几下尼设计什么了，要我5000块
领导B：几张破纸宣传册要8000多，我以前做几毛钱一打[微笑]",,277,2025-06-28 22:34:21,天天🌟,https://www.douyin.com/user/MS4wLjABAAAAgLcuS6ORloTe3ec7lBXEpXfl7kgSG07h-NyOSwsmWzf97alAvwRjD2jSIMfBA02c,Katrinaman,未知,6,内蒙古
7520942818425242425,集团花300w请人来做战略规划、分公司领导去听了一节课，回来让我也做一个[宕机][宕机],,2121,2025-06-28 18:19:19,謝𨉷,https://www.douyin.com/user/MS4wLjABAAAACmCu05wkBrAtDFggmM_ozGi6JrIZXAe0URkDDNaRLWF_1TBQngys0SEOSOGlbNVm,74725625273,未知,43,山东
7520962177890960188,“你是不是在监狱工作？我有个朋友进去了，你给放了吧。”,,1357,2025-06-28 19:34:28,流浪的小怪兽🐾,https://www.douyin.com/user/MS4wLjABAAAAezZrB9wzYr-YrT4Lu3Mm-keGxnWYFsTpXcFP8iqsP4I,1450meiyoumuqin,未知,20,辽宁
7521177230317421369,我学纹身，朋友都让我免费设计图稿，还必须三个风格各两个，挑选一下，提钱就是都哥们[愉快],,16,2025-06-29 09:28:59,都是蝎子莱莱干的,https://www.douyin.com/user/MS4wLjABAAAAD1YTFaOR5K2xWOUBCzS8bZRuzy2tD3DSLiAI6APSQbk,,未知,1,山东
7520963884422923048,我当年的领导，给我说，管我吃住再给我月底加二百块钱，他想让我做个windows系统出来[泣不成声],,343,2025-06-28 19:41:15,十三_,https://www.douyin.com/user/MS4wLjABAAAA2bQ06pY7t57dwHFWSV7fA8hSslkVj2M8cjO5hrJHwPQ,,未知,8,陕西
7520949496122491708,多年前我老板看我没事干，把他旅游的照片全都扫描做了个网站，老板酷爱照相，这么说吧，去了趟舟山，照了五百张。。。俄罗斯八百多张。。全都是他的大脸！,,43,2025-06-28 18:45:14,樂7,https://www.douyin.com/user/MS4wLjABAAAArr1mGOFCJpQ6L-XRzyRJRbZyD9s0s3vGQu2IKJZaOV2GuBXV8pLCw8fuLWcH9zg9,40205705015,未知,5,黑龙江
7520952235900355391,"我作为领导，我会给下属两种指示：
1. 当我判断他能做到，我会给他建议，他可以选择听或者不听，但他自己要能为结果负责。
2. 当我判断任务超出他能力，我会给他明确指示，他要完全听我话去执行，我会承担结果的责任。",,114,2025-06-28 18:55:54,刘浪人,https://www.douyin.com/user/MS4wLjABAAAAWnJRl1faGFU-qYhpZNCsS9a5Hyxs8sS7z2DvTA6e3DxFN23tTv09kj3UFojhHrl2,dyem89uo34v4,未知,10,北京
7520953606930596668,我认识一个人，他在教刘国梁打乒乓球[微笑],,5487,2025-06-28 19:01:12,梅菜Colo（胡吃海塞减肥版）,https://www.douyin.com/user/MS4wLjABAAAAYkI9KftZmR3pT_3jTX5iYWHgm1-HHYPjawPbea0Vl2k,mj20230503,未知,24,福建
7520986487284302649,我以前在水利设计院工作，院长以前是饭店大堂经理[捂脸],,169,2025-06-28 21:08:47,王富贵儿,https://www.douyin.com/user/MS4wLjABAAAA0FBV2wVmGv-KeCi-6hWpQg5VHz1Cj5o0L_sDTKDFhvY,,未知,5,天津
7521021146507477779,我们老板要我去和供应商压价，我说时机不合适，然后她御驾亲征结果谈的涨价了[躺平][躺平][躺平],,119,2025-06-28 23:23:19,～,https://www.douyin.com/user/MS4wLjABAAAAkC8EtpdkJhFVXAckRxtbMTfPsI2k3P-AQ3Uq18BLLsgLQ69NNZqC7obR7MpLBeSJ,75413767822,未知,2,上海
7521245833229566772,真事，给我200预算，让我做个和美团一样的app[躺平][躺平][躺平][躺平],,16,2025-06-29 13:55:13,春田花花同学,https://www.douyin.com/user/MS4wLjABAAAAA5w-sy6eYWOb2tYWCxtZFZHFhIQRwkRmC_EBLWoj-Hc,Nice784533,未知,1,吉林
7520992641737376570,想当年在工厂干车床，厂里有一台五几年德国产的多头钻床，每年的维修费再添点都够买个新的了，我用的那个车床记得是92年的，就这老板不知道哪根弦搭错了，花了五十万从南方聘了个专家搞讲座，真是一个敢说一个敢信。有一个产品是上游公司让我们厂独家生产的，可能是利润低，老板就是拖着不发货，只紧着利润高的优先发货，最后上游公司生气了，重新招标，不让我们厂供货了[捂脸][捂脸][捂脸],,25,2025-06-28 21:32:40,小钱钱,https://www.douyin.com/user/MS4wLjABAAAA4FCLNjsHyteZr-KOGpMkoby1c2cRZoOyiwXPdx1g6tfwh0V8rauErlAfrTP6ibAQ,dy5rzl5vf81f,未知,3,河南
7520956723037897515,我们领导上周给我布置的工作就是解决微信无法传输2个G大小的文件这个问题 让我一下午搞清楚,,442,2025-06-28 19:13:18,那你努力就好,https://www.douyin.com/user/MS4wLjABAAAANX2r-89QO0C3SKpWgcyMTgstq7dVW6z2wuc3TDWJo58,,未知,31,青海
7521060738661991228,高一数学老师说他以前在的一个学校的副校长看完他们批的期末卷子后把整个数学组骂了一遍，理由是他们批改不认真，学生把8都写了横着了还打钩（实际学生写的是∞）[憨笑],,46,2025-06-29 01:57:02,不嘻嘻*,https://www.douyin.com/user/MS4wLjABAAAAbR1zl5BeN-5NqY5_xGXhMk8MaQjZTpaz1amQlFtdGuFnqsh4sre7U6sKAMAe2pw4,86665330130,未知,2,云南
7521018058774627130,孩子们在找我吗？,"['https://p26-sign.douyinpic.com/tos-cn-i-p14lwwcsbr/c62e1160fdb945f39d6c18e20659d18f~tplv-p14lwwcsbr-7.image?lk3s=7b078dd2&x-expires=1751288400&x-signature=aDr13H7Ja7IkR%2F4rD31x%2BxIjxGc%3D&from=2064092626&se=false&sc=image&biz_tag=aweme_comment&l=20250630153040EDD57EAEB70C7EBAAC11', 'https://p3-sign.douyinpic.com/tos-cn-i-p14lwwcsbr/c62e1160fdb945f39d6c18e20659d18f~tplv-p14lwwcsbr-7.image?lk3s=7b078dd2&x-expires=1751288400&x-signature=gaK0zdr5%2BWznkDdeyghF9uo4OZU%3D&from=2064092626&se=false&sc=image&biz_tag=aweme_comment&l=20250630153040EDD57EAEB70C7EBAAC11', 'https://p11-sign.douyinpic.com/tos-cn-i-p14lwwcsbr/c62e1160fdb945f39d6c18e20659d18f~tplv-p14lwwcsbr-7.image?lk3s=7b078dd2&x-expires=1751288400&x-signature=OGHLkJ%2FwppcQ6fd%2Bk9gKc9UBuio%3D&from=2064092626&se=false&sc=image&biz_tag=aweme_comment&l=20250630153040EDD57EAEB70C7EBAAC11', 'https://p26-sign.douyinpic.com/tos-cn-i-p14lwwcsbr/c62e1160fdb945f39d6c18e20659d18f~tplv-p14lwwcsbr-7.jpeg?lk3s=7b078dd2&x-expires=1751288400&x-signature=D%2Bkw0zn15MmK%2FRlT7AH5gHZe5do%3D&from=2064092626&se=false&sc=image&biz_tag=aweme_comment&l=20250630153040EDD57EAEB70C7EBAAC11']",259,2025-06-28 23:11:18,奋斗,https://www.douyin.com/user/MS4wLjABAAAA0tbfcmvk23RrJOG-zV9coADlcwTxSCDLViYXkfQ3wW50ZhqkMOHQhilBJ-jl2evm,47072423881,未知,4,安徽
7520965564082209595,"一台9米6的新车，领导跟我讲，让我把车从上海开到重庆万州机场，给我100块钱。
我拒绝了，然后领导又从外面找了一个送车司机，把车开到重庆万州，再给我买机票，让我飞到重庆交付这台车[冷漠]",,67,2025-06-28 19:47:36,一个局外人,https://www.douyin.com/user/MS4wLjABAAAAopg6o6eo9stVItrPmxyjPwJwbSAI2Q6Id5SUx7zN69g,,未知,5,上海
7520963487485952828,有，就这周，老板问我供应商发货没，我说供应商周日全场休息不发货，他们单休。老板说我瞎说工厂不可能会休息[捂脸]，我没搭理他，这周准备辞职了，不伺候了，三观有问题,,70,2025-06-28 19:39:32,郭灵均,https://www.douyin.com/user/MS4wLjABAAAAF3IKqYXnF6sDkQSUV_AxekkPTsdlHUHptyrRikF2MKuAa4EaxnIgf0861O7ELQrb,53219996090,未知,9,浙江
