video_id,desc,author,author_id,create_time,tags,digg_count,comment_count,share_count,video_url
7520665249532497198,消费级8Gen3上车，凭什么？-简析小米汽车EEA #YU7 #小米汽车 #小米汽车发布会 #小米SU7 #特斯拉,咕科技,3248434956215737,2025-06-28 00:22:53,"YU7, 小米汽车, 小米汽车发布会, 小米SU7, 特斯拉",2644,508,244,https://www.douyin.com/video/7520665249532497198
7499136239489060106,游戏圈的隐形帝王？腾讯如何“拿捏”全球3A产业链？ 啥火抄啥？你笑鹅厂不懂3A，鹅厂笑你不懂股权。毕竟3A烧钱，投资圈钱。#腾讯 #腾讯游戏 #游戏杂谈 #黑神话悟空 #游戏收购,太平洋科技,89808369416,2025-05-01 00:04:42,"腾讯, 腾讯游戏, 游戏杂谈, 黑神话悟空, 游戏收购",86475,4966,15563,https://www.douyin.com/video/7499136239489060106
7436335758920797451,"极限越野 | ""山猫"" 全地形越野机器人 #野外  #极限运动  #越野  #机器狗  #机器狼  #ai #人工智能 #科技",云深处科技,111036068016,2024-11-12 18:23:14,"野外, 极限运动, 越野, 机器狗, 机器狼",479550,39490,187580,https://www.douyin.com/video/7436335758920797451
7520893241139547432,大脑×Optimus人机合一！马斯克揭秘脑机接口5大技术路线 #马斯克  #脑机接口  #大脑  #Optimus  #意念,科技最前线,2850370260835880,2025-06-28 15:07:02,"马斯克, 脑机接口, 大脑, Optimus, 意念",6680,941,4728,https://www.douyin.com/video/7520893241139547432
7457486890640493887,那些买了容易吃灰的数码产品 #数码科技 #switch #iPad,科技胖才,4217342436859565,2025-01-08 21:20:00,"数码科技, switch, iPad",33246,7576,9772,https://www.douyin.com/video/7457486890640493887
7521247852908121383,售价2699的小米AI眼镜到底怎么样？ #小米AI眼镜 #小米新品 #智能眼镜 #真实体验 #数码科技,爱回收的三零,4347911045124995,2025-06-29 14:03:22,"小米AI眼镜, 小米新品, 智能眼镜, 真实体验, 数码科技",14640,1604,66756,https://www.douyin.com/video/7521247852908121383
7521257971016355072,竟然有人问我红米K80至尊版和一加Ace5至尊版怎么选？ #数码科技 #手机 #红米k80至尊版 #一加ace5至尊版 #游戏手机,凡真科技,94818783101,2025-06-29 14:42:48,"数码科技, 手机, 红米k80至尊版, 一加ace5至尊版, 游戏手机",398,113,57,https://www.douyin.com/video/7521257971016355072
7398420089873108262,EUV光刻机镜片，堪称宇宙中最光滑的物体 #光刻机 #中国制造 #科技 #芯片,科技公元,93984482190,2024-08-02 18:00:00,"光刻机, 中国制造, 科技, 芯片",19672,180,550,https://www.douyin.com/video/7398420089873108262
7494173053925051688,我还原了上世纪的显示器！ #DIY  #黑科技  #拓竹3D打印机  #拓竹H2D,黑人黑科技,99498606918,2025-04-17 18:01:22,"DIY, 黑科技, 拓竹3D打印机, 拓竹H2D",333510,5054,41715,https://www.douyin.com/video/7494173053925051688
7520191324348321043,好空调的标准到底是什么？ #空调 #空调测评 #松下 #松下空调,拉格行业说,4275367075655853,2025-06-27 15:00:09,"空调, 空调测评, 松下, 松下空调",5459,1674,367,https://www.douyin.com/video/7520191324348321043
7520573464923753778,无惧美国打压！华为入选全球100大最具影响力企业#华为 #昇腾910 #华为芯片,快科技,107904255279,2025-06-27 18:26:15,"华为, 昇腾910, 华为芯片",3728,488,85,https://www.douyin.com/video/7520573464923753778
7521297236999933220,我的充电宝支持3C认证，也被白云机场扣留了！ #充电宝 #3C认证 #罗马仕充电宝,科技狐,76389862274,2025-06-29 17:15:02,"充电宝, 3C认证, 罗马仕充电宝",3948,3353,1835,https://www.douyin.com/video/7521297236999933220
7414401769997896998,菲律宾贫民窟的屋顶为啥插满了水瓶？ #内容启发搜索 #科技启示录 #发明 #菲律宾,科技公元,93984482190,2024-09-16 11:00:00,"内容启发搜索, 科技启示录, 发明, 菲律宾",73988,762,4769,https://www.douyin.com/video/7414401769997896998
7465675834179718438,穿越回1971，“杀”死埃隆·马斯克会怎么样？ #dou上热门 #spacex #脑洞 #车星计划#当科技遇上汽车,科技公元,93984482190,2025-01-31 11:40:00,"dou上热门, spacex, 脑洞, 车星计划, 当科技遇上汽车",21644,504,2540,https://www.douyin.com/video/7465675834179718438
7520927718540709171,细数小米手环10相较于小米手环9的10个升级点！值不值得买 #智能穿戴 #小米手环10 #小米手环9 #小米手环 #小米,科技大星,4292931605760268,2025-06-28 17:20:52,"智能穿戴, 小米手环10, 小米手环9, 小米手环, 小米",406,167,88,https://www.douyin.com/video/7520927718540709171
7520626454619819274,小米ai眼镜，能进考场吗？ #小米ai眼镜 #ai眼镜,科技暴龙,3148601188949709,2025-06-27 21:51:41,"小米ai眼镜, ai眼镜",2715,842,4242,https://www.douyin.com/video/7520626454619819274
7521263219164433704,英国车评人：这就是3分钟20万订单的车，太厉害了 #汽车 #小米汽车 #小米YU7 #小米yu7实车测评 #新车抢先看,笑脸科技说,294306162940028,2025-06-29 15:03:09,"汽车, 小米汽车, 小米YU7, 小米yu7实车测评, 新车抢先看",1617,138,154,https://www.douyin.com/video/7521263219164433704
7520575364217703699,激光炮打蚊子V2.0最新版，结构算法大升级，可以打各种小飞虫 #手搓机器人 #手搓万物 #科技  #diy #打蚊子,科技羊,76497269216,2025-06-27 18:47:04,"手搓机器人, 手搓万物, 科技, diy, 打蚊子",106208,14912,19021,https://www.douyin.com/video/7520575364217703699
7520972042192031002,50系笔记本电脑性能差距有多大？到底什么配置性价比高？ #笔记本电脑 #游戏本推荐 #笔记本电脑推荐,90后科技说,68035325147,2025-06-28 20:13:02,"笔记本电脑, 游戏本推荐, 笔记本电脑推荐",358,32,26,https://www.douyin.com/video/7520972042192031002
7521240772792945959,"马斯克公布脑机接口最新进展： 第一批赛博人类已上线 马斯克公布脑机芯片最新进展： 第一批赛博人类已上线
#马斯克 #脑机接口 #ai #科技 #知识科普",AI享科技,7442625507068068921,2025-06-29 13:35:54,"马斯克, 脑机接口, ai, 科技, 知识科普",363,67,190,https://www.douyin.com/video/7521240772792945959
7520907115070754094,流水不争先后，争的是滔滔不绝，长期奋斗才是正确的价值观。#大同数据科技职业学院 #山西高考 #高考志愿填报 #大学生就业 #高考,大同数据科技职业学院,3573831918430695,2025-06-28 18:30:00,"大同数据科技职业学院, 山西高考, 高考志愿填报, 大学生就业, 高考",65518,2645,14566,https://www.douyin.com/video/7520907115070754094
7520573018490342697,让全世界羡慕的中国除草科技！杂草1秒烧穿，让农田告别农药！ 让全世界羡慕的中国除草科技！杂草1秒烧穿，让农田告别农药！#科技改变生活  #激光除草机  #除草机 #农业 #农业科技  #中国科技  #,科技先锋派,108191118265024,2025-06-27 18:24:30,"科技改变生活, 激光除草机, 农业科技, 中国科技, 三农",47871,9020,26010,https://www.douyin.com/video/7520573018490342697
7520821613571378468,断供芯片的台积电，背后的真相是什么？ #科技  #产业   #芯片,杰明科技官,1878424000402848,2025-06-28 10:29:12,"科技, 产业, 芯片",6720,61,112,https://www.douyin.com/video/7520821613571378468
7447792625702161676,小米消失的那些黑科技 #黑科技 #数码科技  #玩转数码 #小米 #雷军,科技兰博,59506652948,2024-12-13 18:30:00,"黑科技, 数码科技, 玩转数码, 小米, 雷军",50162,1886,3869,https://www.douyin.com/video/7447792625702161676
7410007024999714111,你如果觉得它老了，该淘汰了，那六爷该情何以堪！#科技启示录 #反潜机 #军事科技,生哥黑科技,96117650029,2024-09-02 19:31:58,"科技启示录, 反潜机, 军事科技",84210,2984,2343,https://www.douyin.com/video/7410007024999714111
7520512269558533426,15年前B站用户现在还有90%在活跃#b站  #年轻人 #bilibili,凤凰网科技,97892270349,2025-06-27 14:28:43,"b站, 年轻人, bilibili",1400,494,51,https://www.douyin.com/video/7520512269558533426
7520701258991144244,小米做了一个拍照眼镜！卖 1999 块钱 🤯 #科技 #数码 #AI #小米  #小米AI眼镜,蜗牛的科技笔记,644767544259856,2025-06-28 09:30:00,"科技, 数码, AI, 小米, 小米AI眼镜",1457,79,2802,https://www.douyin.com/video/7520701258991144244
7517967350092631335,特朗普若下令美军参战，美军该怎么打击伊朗？从实际美军的军力部署来看，又有哪些打击选项#硬核深度计划#零基础看懂全球#军武正当燃 #伊以冲突升级 #伊以战争一触即发,军武黑科技,284133451898620,2025-06-20 17:53:04,"硬核深度计划, 零基础看懂全球, 军武正当燃, 伊以冲突升级, 伊以战争一触即发",220938,1734,15290,https://www.douyin.com/video/7517967350092631335
7520711583863131451,#小米 #小米YU7 #小米SU7,咕科技,3248434956215737,2025-06-28 03:22:24,"小米, 小米yu7, 小米",5945,1101,564,https://www.douyin.com/video/7520711583863131451
7392864111098383643,中国：看好了，PPT是这样实现的！ #科技启示录  #内容启发搜索 #科技 #中国力量 #车星计划,科技公元,93984482190,2024-07-18 18:00:01,"科技启示录, 内容启发搜索, 科技, 中国力量, 车星计划",21685,438,761,https://www.douyin.com/video/7392864111098383643
7520515026358455615,#qq飞车 #陈伯直播回放 #陈伯全能王 #qq飞车端游 #江章闯,科技六蛋门,1977400536346652,2025-06-27 14:39:23,"qq飞车, 陈伯直播回放, 陈伯全能王, qq飞车端游, 江章闯",453,123,175,https://www.douyin.com/video/7520515026358455615
7520501919392288057,这公司已经不需要销售了,黄财神-隼核科技,2439180329959084,2025-06-27 13:48:25,,2227,1343,136,https://www.douyin.com/video/7520501919392288057
7450320728752229695,从香饽饽，到万人嫌，曲面屏是造了什么孽吗？ #抖音知识年终大赏 #抖音精选 #手机 #华为 #科技,科技公元,93984482190,2024-12-22 11:00:00,"抖音知识年终大赏, 抖音精选, 手机, 华为, 科技",13720,450,350,https://www.douyin.com/video/7450320728752229695
7520908449392102656,iPhone 最佳三方配件？ 269元起售 小米手环10 陶瓷版是否值得购买？#小米手环10 #智能穿戴,科技美学,79988093013,2025-06-28 18:10:00,"小米手环10, 智能穿戴",17225,588,6191,https://www.douyin.com/video/7520908449392102656
7520679436090494259,边充边玩，真的对手机有影响吗？ #数码科技 #手机 #充电,科技大熊君,550219716234623,2025-06-28 11:00:00,"数码科技, 手机, 充电",368026,5813,156754,https://www.douyin.com/video/7520679436090494259
7514636673062341939,为什么MH370那么难找？11年前究竟发生了什么？ 让我来带你回顾它失踪前后种种疑点，或许就能从中找到蛛丝马迹#MH370  #mh370失踪之谜,超级黑科技,70902418769,2025-06-11 18:29:00,"MH370, mh370失踪之谜",121361,2250,10927,https://www.douyin.com/video/7514636673062341939
7521241216349769012,张雪峰谈湖南科技大学，听听他怎么说… #湖南科技大学 #高考志愿,湖南科技大学,2771195284957912,2025-06-29 13:37:17,"湖南科技大学, 高考志愿",2099,461,1283,https://www.douyin.com/video/7521241216349769012
7520907934629432626,"马斯克公布脑机接口终极时间表：
2025年：大脑直接“说话”；
2026年：盲人复明+超人视觉；
2028年：全人类变AI机器人！
现场视频：1.5秒插脑技术曝光，7位志愿者意念操控玩赛车游戏、操控机",凤凰网科技,97892270349,2025-06-28 16:04:01,,1488,65,185,https://www.douyin.com/video/7520907934629432626
7520560210454793487,头上终于长出了摄像头！耳机再也不用塞耳朵！小米AI眼镜还能干点啥？#小米AI眼镜 #小米首款AI眼镜售价1999元起  #小米眼镜的AI属性体现在哪里,00学姐的科技生活,734931599254573,2025-06-27 17:34:41,"小米ai眼镜, 小米眼镜的ai属性体现在哪里",1380,60,453,https://www.douyin.com/video/7520560210454793487
7520451435444604196,24核怪兽性能本！设计师的梦中情本实锤了！#ThinkBook#AIPC#酷睿UltraHX,科技罗布斯,163143161746494,2025-06-27 16:00:19,"ThinkBook, AIPC, 酷睿UltraHX",9696,381,303,https://www.douyin.com/video/7520451435444604196
7521300305242311978,全网悼念蔡澜这是人类世界的扭曲 我相信逼迫一个未成年的女孩去拍三级片，这不是人干的，一个人一生干过一次这样事，就是恶人。再有钱，文人们再吹捧，也不可能洗白。文人竞相表白，无非是为了混圈子。这个世界真的,立刚科技观察,98894286849,2025-06-29 17:26:43,,3243,904,157,https://www.douyin.com/video/7521300305242311978
7521324955787676955,vivo X200 Ultra，相机手机都不偏科的全能Ultra#vivoX200Ultra #vivo #影像旗舰,丸子科技,2252242821583134,2025-06-29 19:02:42,"vivoX200Ultra, vivo, 影像旗舰",8020,77,205,https://www.douyin.com/video/7521324955787676955
7520868323639282996,iPhone Fold背后供应链现身！细数苹果折叠屏的“科技慢动作”！#iPhone #折叠屏手机 #科技,科技札记,2245659750830713,2025-06-28 18:40:00,"iPhone, 折叠屏手机, 科技",878,474,723,https://www.douyin.com/video/7520868323639282996
7520590869913734446,你的充电宝很可能不能上飞机了！数码博主带你看看有啥设备支持！ #数码科技#充电宝,90后科技说,68035325147,2025-06-27 19:33:50,"数码科技, 充电宝",308,45,26,https://www.douyin.com/video/7520590869913734446
7521409218831813929,欢迎刘路说电池这一新栏目的诞生#小米yu7 #小米汽车 #内容启发搜索,耿直科技人,75345080861,2025-06-30 00:29:26,"小米yu7, 小米汽车, 内容启发搜索",3582,978,215,https://www.douyin.com/video/7521409218831813929
7521354317266292009,买整机就一定是大冤种 90%的电脑整机都有坑 那整机该怎么买 2025年年中保姆级英特尔12600KF/14600KF+5060整机购买指南#电脑 #组装电脑 #电脑配置 #电脑主机,永恒数码科技,75181773291636,2025-06-29 20:56:53,"电脑, 组装电脑, 电脑配置, 电脑主机",170,155,8,https://www.douyin.com/video/7521354317266292009
7520877642862710042,国行 eSIM 正在测试，终于要告别实体SIM卡了？#eSIM #国行eSIM,崔公子聊科技,52691140362,2025-06-28 14:06:36,"eSIM, 国行eSIM",8035,76,26,https://www.douyin.com/video/7520877642862710042
7520879234747878665,《东方神盾》第七集：055大驱降维打击！15枚东风-17出场，敌方基地瞬间蒸发！#军事科普 #军事科技 #东方神盾,大香蕉游戏,72765508991,2025-06-28 18:25:22,"军事科普, 军事科技, 东方神盾",140811,4749,6623,https://www.douyin.com/video/7520879234747878665
7521027011269496091,董事长 脑机接口#脑机接口#马斯克,小张小张吃饭用缸,109575891398,2025-06-28 23:46:03,"脑机接口, 马斯克",7091,955,1106,https://www.douyin.com/video/7521027011269496091
7521211614021422387,李驰,苏讯科技,85249726332,2025-06-29 11:42:24,,12325,3522,108,https://www.douyin.com/video/7521211614021422387
7520962171585547520,专利金奖的“暖科技”：汽车工业的突破性成果 #新能源特色计划  #新能源领航计划,杰明科技官,1878424000402848,2025-06-28 19:35:00,"新能源特色计划, 新能源领航计划",750,7,3,https://www.douyin.com/video/7520962171585547520
7520537689603443977,摄影圈炸了，相机电池不能上飞机 #摄影 #摄影器材 #相机 #相机电池 #3c认证,科技李有才,71934826899,2025-06-27 16:07:21,"摄影, 摄影器材, 相机, 相机电池, 3c认证",74,50,51,https://www.douyin.com/video/7520537689603443977
7520823074633469244,为啥华为充电宝就没事？#充电宝 #华为,欣邦科技头条,1438612950096244,2025-06-28 10:34:42,"充电宝, 华为",2853,1552,762,https://www.douyin.com/video/7520823074633469244
7387046337382010150,听我的，别想，会破产！#科技启示录 #机械原理,生哥黑科技,96117650029,2024-07-02 22:32:43,"科技启示录, 机械原理",72692,4811,8937,https://www.douyin.com/video/7387046337382010150
7520543658337160494,一路走好！兄弟希望你在天堂一切安好 @那个谁,苏讯科技,85249726332,2025-06-27 16:30:29,,10359,639,86,https://www.douyin.com/video/7520543658337160494
7520813421555453184,全体起立，100%中国芯横空出世！#龙芯 #中国芯 #科技,老炮说科技,4279768179554904,2025-06-28 09:57:18,"龙芯, 中国芯, 科技",186,15,20,https://www.douyin.com/video/7520813421555453184
7497128580305014031,从手敲底盘到技术出圈，中国自主汽车品牌狂飙的这些年 #时代匠心全球共赢  #上海车展超酷炫的原型车双子星,科技公元,93984482190,2025-04-25 15:22:28,"时代匠心全球共赢, 上海车展超酷炫的原型车双子星",19941,355,194,https://www.douyin.com/video/7497128580305014031
7520972361164705058,华为Mate 80全球首发：麒麟9030年底登场#麒麟9030 #Mate80,快科技,107904255279,2025-06-28 20:14:32,"麒麟9030, Mate80",528,98,45,https://www.douyin.com/video/7520972361164705058
7521036879048232233,也说 k80 至尊版的优缺点，实话实说，没有投放！优点很多，缺点也明显！#红米k80ultra  #k80至尊版,耿直科技人,75345080861,2025-06-29 00:24:32,"红米k80ultra, k80至尊版",376,296,35,https://www.douyin.com/video/7521036879048232233
7520586963955600694,不会真有人给别人推荐手机吧？不会就是我吧 #数码科技 #数码博主 #手机推荐 #真实生活分享计划,退烧科技,276677551209124,2025-06-28 18:00:00,"数码科技, 数码博主, 手机推荐, 真实生活分享计划",2339,277,277,https://www.douyin.com/video/7520586963955600694
7521347150920338730,龙树谅2025年7月预言将至 世界上真的有预言家吗？龙树谅的预言，15个已经应验了10个#预言 #龙树谅 #我所看见的未来 #日本 #海啸,趣丸科技咖,79708242379,2025-06-29 20:28:49,"预言, 龙树谅, 我所看见的未来, 日本, 海啸",127,15,126,https://www.douyin.com/video/7521347150920338730
7521205908546915603,"“龙芯之父”胡伟武： 龙芯3C6000相当于23年 或24年市场主流产品的水平
#芯片 #“龙芯之父”胡伟武 #龙芯3C6000 #CPU",甄科技,229114191032863,2025-06-29 11:20:39,"芯片, “龙芯之父”胡伟武, 龙芯3C6000, CPU",326,40,3,https://www.douyin.com/video/7521205908546915603
7520550998071381286,手机全面普及eSIM卡真的要来了！你会换吗？ #eSIM #iPhone17Air,袍科技,73615584609,2025-06-29 17:25:00,"eSIM, iPhone17Air",328,25,87,https://www.douyin.com/video/7520550998071381286
7520526078662741288,"中国稀土之父""徐光宪""，凭一己之力改变全球稀土产业格局 #科技 #思维 #中国稀土 #徐光宪",科技吴一波,2000766299814572,2025-06-27 18:00:00,"科技, 思维, 中国稀土, 徐光宪",97,13,4,https://www.douyin.com/video/7520526078662741288
7520576476245265715,超越美国！中科院光芯片重大突破！ #硅基智能 #司马华鹏 #硅基数字人 #流星一号 #芯片,大司马聊科技,1939958401871934,2025-06-27 18:38:04,"硅基智能, 司马华鹏, 硅基数字人, 流星一号, 芯片",1190,187,49,https://www.douyin.com/video/7520576476245265715
7461086223629602058,永久飞行！我国大型太阳能无人机首飞成功，无需燃料，也可以在万米高空上实现无限续航，空中永动机或将来临！#无人机 #太阳能 #永动机 #大国科技 #厉害了我的国,科技头条,927616789907516,2025-01-18 11:07:33,"无人机, 太阳能, 永动机, 大国科技, 厉害了我的国",46408,9766,1394,https://www.douyin.com/video/7461086223629602058
7521287519737007370,#小米YU7 爆火，雷军和小米的十倍硬核科技投入取得成效，黑子们赶紧收手吧！#雷军,新青年科技,77409617285,2025-06-29 16:37:04,"小米YU7, 雷军",2496,507,99,https://www.douyin.com/video/7521287519737007370
7520550599000182056,大流量卡已经全面下架，还在推荐的都是假的 #流量卡 #流量卡避坑指南 #流量卡推荐,正羽科技,1739883516800234,2025-06-27 16:57:29,"流量卡, 流量卡避坑指南, 流量卡推荐",3652,1178,2030,https://www.douyin.com/video/7520550599000182056
7521332521154399538,用了一段时间的红魔10Pro，因为这个原因打算弃用了 #数码产品 #红魔10Pro #全面屏,花果科技,2344595726541951,2025-06-29 19:32:05,"数码产品, 红魔10Pro, 全面屏",9,1,0,https://www.douyin.com/video/7521332521154399538
