user_id,address,age,aweme_count,total_favorited,favoriting_count
MS4wLjABAAAAu5Cv2eZBbbIvZqyoD0al3CdHypDE47cVCLHlhD6BKY1RLYBQzSKUAGk6Y3rD3JSk,未知,未知,未知,未知,未知
MS4wLjABAAAA7vfibih-Yt8TM0ynKG6pMp2h-f_zuozPnOFywR8O9IU,未知,未知,未知,未知,未知
MS4wLjABAAAA7EmgGwgykoTOaLWqFAQQ8OOucLceZWm7gawyRVHk1YWju9VbJPo1Kk9pt4nSP2RM,未知,未知,未知,未知,未知
MS4wLjABAAAA-Q1yNchwMfgLcGIY1I6U0sQTG6lTN6SKrNwTwVvrt8I,未知,未知,未知,未知,未知
MS4wLjABAAAAIp1Y0U4_xpDFl2Rx-aCNfGWs9J5bAEjmyU-Gh9lPqfI,未知,未知,未知,未知,未知
MS4wLjABAAAApzjTQ_ddt32HbFDVFzvisq8sL7FYEW3Fs7pGBw-H5Q8,未知,未知,未知,未知,未知
MS4wLjABAAAASYtC-EZmeEVSBsMPQfaSuhl_n1qu-OipWi7JsocNFNtS2xFYyv2pGTTgT4zh8VF5,未知,未知,未知,未知,未知
MS4wLjABAAAApMehDHnzQos9KHl-jFMnsZ-75jl4rydkFd6WXCQ105o,未知,未知,未知,未知,未知
MS4wLjABAAAAZ0ooGJsI8KrdkwBFbX2JYLOuBycLrCC668Ydxns9hZpiJNex3vJ8OrJEAxua49mu,未知,未知,未知,未知,未知
MS4wLjABAAAARLyCpMKXJJH23740ZSmEALiEGwb3X2fgRtj3Td47TWUyR_0G5GvZtTgqizNuiMDL,未知,未知,未知,未知,未知
MS4wLjABAAAAnQDstuGLOC3LBw6uWgKKInWaFRbv8nMpfDyytF6Jh4HBFFLrHin8MhTb9jLOV2jN,未知,未知,未知,未知,未知
MS4wLjABAAAAIp1Y0U4_xpDFl2Rx-aCNfGWs9J5bAEjmyU-Gh9lPqfI,未知,未知,未知,未知,未知
MS4wLjABAAAARLyCpMKXJJH23740ZSmEALiEGwb3X2fgRtj3Td47TWUyR_0G5GvZtTgqizNuiMDL,未知,未知,未知,未知,未知
MS4wLjABAAAAlE4ySN27NDdStTiaXwt7ilZ5Ax9XQdPddwpZiUzWoxM,未知,未知,未知,未知,未知
MS4wLjABAAAAFyy62rRrrKZkuq4uRuSkekLcAFV1cyQq4St69fPl-eI,未知,未知,未知,未知,未知
MS4wLjABAAAARLyCpMKXJJH23740ZSmEALiEGwb3X2fgRtj3Td47TWUyR_0G5GvZtTgqizNuiMDL,未知,未知,未知,未知,未知
MS4wLjABAAAAqADI2dBVccOTOojOZI9spn3ygn6a1oQKr-lgsprvUt0,未知,未知,未知,未知,未知
MS4wLjABAAAALkI_QlA0U4lrI9mVrEa-gUYIlo-pGpkGc8yBcw9-MdT-kC4UnMR0sry-LbtzwQFl,未知,未知,未知,未知,未知
MS4wLjABAAAAGC991b-Kl7aJa_H14NbQINuLVRxMC2tEyYXgz8ZsuKs,未知,未知,未知,未知,未知
MS4wLjABAAAAlE4ySN27NDdStTiaXwt7ilZ5Ax9XQdPddwpZiUzWoxM,未知,未知,未知,未知,未知
MS4wLjABAAAAGC991b-Kl7aJa_H14NbQINuLVRxMC2tEyYXgz8ZsuKs,未知,未知,未知,未知,未知
MS4wLjABAAAAA-nszlLobKp8bhlbfHZrcm3h6huVS-o8goZIufteuzY,未知,未知,未知,未知,未知
MS4wLjABAAAAKfmCpyJLMsbwJ3IS5ftumxHNxP5r-wtwDV7afEskHUQ,未知,未知,未知,未知,未知
MS4wLjABAAAA2SB3sxWLZxe9W5wiQQwoWbQu8J_hmyolePc3ucTaP-xFv8edOXBIFFJkWAGVVsMr,未知,未知,未知,未知,未知
MS4wLjABAAAA2HQHEhTgwXni72RodQzSsm1SOb5v5JIPXK0bzvejcs0,未知,未知,未知,未知,未知
MS4wLjABAAAABCEi1MUfsVpTo51dY8bhrpZVPTfAQJMDBh90mn-QVz8,未知,未知,未知,未知,未知
